,region,lga,population,
35,Arusha,Arusha,257500,
265,Arusha,Arusha Urban,25000,
176,Manyara,Babati,112750,
24822,Manyara,Babati Urban,250,
31,Pwani,Bagamoyo,228500,
264,Dodoma,Bahi,50000,
21,Simiyu,Bariadi,105500,
112,Kagera,Biharamulo,87500,
69,Kigoma,Buhigwe,74250,
59,Kagera,Bukoba,70750,
75,Kagera,Bukoba Urban,14750,
693,Geita,Bukombe,33000,
117,Mara,Bunda,37500,
253,Simiyu,Busega,21750,
84,Mara,Butiam,31750,
30,Dodoma,Chamwino,45500,
107,Geita,Chato,41500,
780,Dodoma,Chemba,24500,??
355,Mbeya,Chunya,21250,
89,Dodoma,Dodoma Urban,29250,
226,Morogoro,Gairo,26000,
256,Geita,Geita,62500,
104,Kilimanjaro,Hai,171250,
93,Manyara,Hanang,55250,
469,Tanga,Handeni,38500,
1838,Tanga,Handeni Mji,9250,
166,Tabora,Igunga,43000,
65,Singida,Ikungi,66750,
145,Dar es Salaam,Ilala,109500,
113,Songwe,Ileje,44500,
1317,Mwanza,Ilemela,11250,
594,Singida,Iramba,45750,
86,Iringa,Iringa,172250,
168,Simiyu,Itilima,89000,
7,Shinyanga,Kahama,93500,
255,Shinyanga,Kahama Township Authority,50500,
289,Kigoma,Kakonko,56500,
15,Rukwa,Kalambo,45750,
1441,Tabora,Kaliua,23500,
4,Kagera,Karagwe,73750,
209,Arusha,Karatu,96250,
74,Kigoma,Kasulu,98750,
266,Kigoma,Kasulu Township Authority,36250,
574,Pwani,Kibaha,32750,
224,Pwani,Kibaha Urban,31750,
39,Kigoma,Kibondo,85000,
24,Kigoma,Kigoma,32750,
1033,Kigoma,Kigoma  Urban,31750,
361,Tanga,Kilindi,16500,
38,Iringa,Kilolo,68250,
70,Morogoro,Kilombero,157000,
174,Morogoro,Kilosa,164750,
324,Lindi,Kilwa,36500,
849,Dar es Salaam,Kinondoni,13750,
314,Pwani,Kisarawe,26750,
25575,Dar es Salaam,Kisarawe,26750,
83,Shinyanga,Kishapu,56250,
119,Manyara,Kiteto,15250,
37,Dodoma,Kondoa,44250,
342,Dodoma,Kongwa,65750,
78,Tanga,Korogwe,71250,
230,Tanga,Korogwe Township Authority,7750,
390,Mwanza,Kwimba,138750,
36,Mbeya,Kyela,118500,
9,Kagera,Kyerwa,53500,
26,Lindi,Lindi,50000,
148,Lindi,Lindi Urban,16000,
330,Lindi,Liwale,14500,
123,Arusha,Longido,62750,
0,Njombe,Ludewa,132500,
61,Tanga,Lushoto,130750,
34,Pwani,Mafia,29500,
5060,Iringa,Mafinga Township Authority,7250,
164,Mwanza,Magu,59000,
147,Njombe,Makambako Township Authority,50750,
41,Njombe,Makete,167000,
165,Singida,Manyoni,36000,
46,Mtwara,Masasi,33250,
7760,Mtwara,Masasi  Township Authority,0,
12,Simiyu,Maswa,154750,
71,Mbeya,Mbarali,101750,
156,Mbeya,Mbeya,90000,
11379,Mbeya,Mbeya Urban,0,
548,Ruvuma,Mbinga,68000,
79,Geita,Mbogwe,64000,
178,Songwe,Mbozi,124000,
58,Manyara,Mbulu,43000,
14,Simiyu,Meatu,94250,
63,Arusha,Meru,203500,
94,Kagera,Missenyi,27750,
97,Mwanza,Misungwi,58750,
64,Singida,Mkalama,55750,
5,Tanga,Mkinga,67000,
10,Pwani,Mkuranga,82250,
14111,Dar es Salaam,Mkuranga,82250,
471,Katavi,Mlele,48750,
136,Songwe,Momba,18000,
426,Arusha,Monduli,28250,
81,Morogoro,Morogoro,85000,
4524,Morogoro,Morogoro Urban,10000,
25,Kilimanjaro,Moshi,229750,
50,Kilimanjaro,Moshi Urban,21250,
212,Katavi,Mpanda,23000,
841,Katavi,Mpanda Urban,8750,
114,Dodoma,Mpwapwa,62750,
195,Mtwara,Mtwara,57500,
320,Mtwara,Mtwara Urban,18750,
191,Iringa,Mufindi,108000,
60,Tanga,Muheza,68750,
87,Kagera,Muleba,59250,
1221,Mara,Musoma,15500,
116,Morogoro,Mvomero,91250,
105,Kilimanjaro,Mwanga,71750,
626,Lindi,Nachingwea,9250,
11,Ruvuma,Namtumbo,117250,
3,Mtwara,Nanyumbu,14500,
233,Mtwara,Newala,13500,
200,Kagera,Ngara,115500,
465,Arusha,Ngorongoro,34250,
42,Njombe,Njombe,98000,
20,Njombe,Njombe Urban,121750,
259,Rukwa,Nkasi,46000,
1133,Mwanza,Nyamagana,11750,
53,Geita,Nyang'hwale,19000,
275,Ruvuma,Nyasa,57750,
236,Tabora,Nzega,95750,
515,Tanga,Pangani,18500,
28,Kilimanjaro,Rombo,65750,
506,Mara,Rorya,21000,
91,Lindi,Ruangwa,16500,
375,Pwani,Rufiji,64500,
47,Mbeya,Rungwe,18000,
23,Kilimanjaro,Same,141250,
85,Mwanza,Sengerema,51000,
1,Mara,Serengeti,132750,
6,Shinyanga,Shinyanga,103250,
437,Shinyanga,Shinyanga Urban,34000,
13,Kilimanjaro,Siha,130750,
142,Tabora,Sikonge,14000,
2,Manyara,Simanjiro,23500,
43,Singida,Singida,63000,
227,Singida,Singida Urban,32750,
98,Ruvuma,Songea,126250,
1042,Ruvuma,Songea Urban,25750,
186,Songwe,Songwe,7100,
51,Rukwa,Sumbawanga,24500,
288,Rukwa,Sumbawanga Urban,22750,
8,Tabora,Tabora Urban,195000,
296,Mtwara,Tandahimba,25250,
100,Tanga,Tanga Urban,13750,
150,Mara,Tarime,35250,
152,Dar es Salaam,Temeke,25250,
19230,Songwe,Tunduma,500,
103,Ruvuma,Tunduru,70250,
18,Mwanza,Ukerewe,29250,
276,Morogoro,Ulanga,140000,
125,Tabora,Urambo,28500,
167,Kigoma,Uvinza,24000,
3554,Geita,Uvinza,24000,
368,Tabora,Uyui,44000,
16,Njombe,Wanging'ombe,359000,
